Index,Country,Start Day,Overshoot Day
0,Qatar,01.01.2021,09.02.2021
1,Luxembourg,01.01.2021,15.02.2021
2,United Arab Emirates,01.01.2021,07.03.2021
3,Bahrain,01.01.2021,09.03.2021
4,Trinidad and Tobago,01.01.2021,12.03.2021
5,Canada,01.01.2021,14.03.2021
6,Mongolia,01.01.2021,14.03.2021
7,United States of America,01.01.2021,14.03.2021
8,Kuwait,01.01.2021,14.03.2021
9,Bermuda,01.01.2021,14.03.2021
10,Oman,01.01.2021,22.03.2021
11,Australia,01.01.2021,22.03.2021
12,Estonia,01.01.2021,23.03.2021
13,Denmark,01.01.2021,26.03.2021
14,Aruba,01.01.2021,29.03.2021
15,Belgium,01.01.2021,30.03.2021
16,"Korea, Republic of",01.01.2021,05.04.2021
17,Latvia,01.01.2021,06.04.2021
18,Sweden,01.01.2021,06.04.2021
19,Austria,01.01.2021,07.04.2021
20,Brunei Darussalam,01.01.2021,08.04.2021
21,Kazakhstan,01.01.2021,08.04.2021
22,Singapore,01.01.2021,10.04.2021
23,Lithuania,01.01.2021,10.04.2021
24,Cayman Islands,01.01.2021,10.04.2021
25,Finland,01.01.2021,10.04.2021
26,Norway,01.01.2021,12.04.2021
27,Saudi Arabia,01.01.2021,12.04.2021
28,Malta,01.01.2021,13.04.2021
29,Israel,01.01.2021,16.04.2021
30,Russian Federation,01.01.2021,17.04.2021
31,Czech Republic,01.01.2021,17.04.2021
32,Turkmenistan,01.01.2021,22.04.2021
33,Netherlands,01.01.2021,27.04.2021
34,Ireland,01.01.2021,27.04.2021
35,Slovenia,01.01.2021,30.04.2021
36,Poland,01.01.2021,04.05.2021
37,Germany,01.01.2021,05.05.2021
38,Réunion,01.01.2021,05.05.2021
39,Japan,01.01.2021,06.05.2021
40,France,01.01.2021,07.05.2021
41,Switzerland,01.01.2021,11.05.2021
42,Montserrat,01.01.2021,11.05.2021
43,Slovakia,01.01.2021,13.05.2021
44,Italy,01.01.2021,13.05.2021
45,Portugal,01.01.2021,13.05.2021
46,Bhutan,01.01.2021,14.05.2021
47,New Zealand,01.01.2021,15.05.2021
48,Martinique,01.01.2021,16.05.2021
49,Chile,01.01.2021,17.05.2021
50,Antigua and Barbuda,01.01.2021,17.05.2021
51,Belarus,01.01.2021,19.05.2021
52,United Kingdom,01.01.2021,19.05.2021
53,Greece,01.01.2021,22.05.2021
54,Montenegro,01.01.2021,23.05.2021
55,Guadeloupe,01.01.2021,25.05.2021
56,Spain,01.01.2021,25.05.2021
57,Malaysia,01.01.2021,30.05.2021
58,Cyprus,01.01.2021,31.05.2021
59,French Polynesia,01.01.2021,01.06.2021
60,Barbados,01.01.2021,06.06.2021
61,Croatia,01.01.2021,06.06.2021
62,China,01.01.2021,07.06.2021
63,Hungary,01.01.2021,08.06.2021
64,Bulgaria,01.01.2021,10.06.2021
65,Bahamas,01.01.2021,10.06.2021
66,Turkey,01.01.2021,16.06.2021
67,Bosnia and Herzegovina,01.01.2021,17.06.2021
68,Libyan Arab Jamahiriya,01.01.2021,18.06.2021
69,British Virgin Islands,01.01.2021,19.06.2021
70,Romania,01.01.2021,21.06.2021
71,Lebanon,01.01.2021,25.06.2021
72,Argentina,01.01.2021,26.06.2021
73,Tonga,01.01.2021,30.06.2021
74,"Iran, Islamic Republic of",01.01.2021,30.06.2021
75,South Africa,01.01.2021,04.07.2021
76,Paraguay,01.01.2021,08.07.2021
77,Bolivia,01.01.2021,09.07.2021
78,Guyana,01.01.2021,10.07.2021
79,Mauritius,01.01.2021,10.07.2021
80,Republic of North Macedonia,01.01.2021,10.07.2021
81,Brazil,01.01.2021,27.07.2021
82,Fiji,01.01.2021,27.07.2021
83,Suriname,01.01.2021,31.07.2021
84,Grenada,01.01.2021,31.07.2021
85,Serbia,01.01.2021,31.07.2021
86,Botswana,01.01.2021,01.08.2021
87,Ukraine,01.01.2021,08.08.2021
88,Mexico,01.01.2021,11.08.2021
89,Thailand,01.01.2021,15.08.2021
90,Costa Rica,01.01.2021,16.08.2021
91,Samoa,01.01.2021,20.08.2021
92,Saint Lucia,01.01.2021,22.08.2021
93,French Guiana,01.01.2021,08.09.2021
94,Mauritania,01.01.2021,10.09.2021
95,Algeria,01.01.2021,11.09.2021
96,Dominica,01.01.2021,12.09.2021
97,"Venezuela, Bolivarian Republic of",01.01.2021,13.09.2021
98,Panama,01.01.2021,14.09.2021
99,Djibouti,01.01.2021,16.09.2021
100,Viet Nam,01.01.2021,18.09.2021
101,Georgia,01.01.2021,25.09.2021
102,Gabon,01.01.2021,26.09.2021
103,Tunisia,01.01.2021,28.09.2021
104,Peru,01.01.2021,29.09.2021
105,Namibia,01.01.2021,05.10.2021
106,Albania,01.01.2021,12.10.2021
107,Ghana,01.01.2021,13.10.2021
108,Lao People's Democratic Republic,01.01.2021,20.10.2021
109,Uzbekistan,01.01.2021,20.10.2021
110,El Salvador,01.01.2021,21.10.2021
111,Azerbaijan,01.01.2021,23.10.2021
112,Jordan,01.01.2021,30.10.2021
113,Colombia,01.01.2021,02.11.2021
114,Eswatini,01.01.2021,06.11.2021
115,Republic of Moldova,01.01.2021,09.11.2021
116,Papua New Guinea,01.01.2021,16.11.2021
117,Cuba,01.01.2021,17.11.2021
